NestID,Year,Date.Found,Date.Finish,Fate,Study.Area,UTM Zone,UTM E,UTM N,Per.Bare.Ground,Mean.Robel
79_2016,2016,40,53,Fox,GSL,12,402221,4549374,40,1
80_2016,2016,40,50,Gull,GSL,12,402314,4549430,80,2
81_2016,2016,40,64,Success,West,11,752880,4483290,10,2
82_2016,2016,40,52,Success,West,12,248956,4491971,90,0
83_2016,2016,41,47,Fox,West,12,295287,4424737,30,2.666666667
84_2016,2016,41,50,Fox,West,12,294172,4423697,50,2.666666667
85_2016,2016,41,46,Success,West,12,293738,4422281,40,3
86_2016,2016,42,46,Gull,GSL,12,405416,4549134,50,1.666666667
87_2016,2016,43,51,Fox,West,12,290781,4422575,60,2.333333333
88_2016,2016,43,59,Success,GSL,12,401031,4514389,100,0
89_2016,2016,44,49,Raven,GSL,12,400978,4514333,70,2.333333333
90_2016,2016,44,54,Raven,GSL,12,401049,4514338,70,1
91_2016,2016,45,49,Fox,GSL,12,402190,4513683,90,1
92_2016,2016,45,49,Fox,West,12,300896,4416486,80,3
93_2016,2016,45,66,Success,West,12,292153,4420976,40,2
94_2016,2016,46,53,Gull,GSL,12,401872,4514450,100,1
95_2016,2016,48,50,Fox,West,12,295115,4424315,70,1
96_2016,2016,48,52,Success,West,12,294296,4423425,20,2.666666667
97_2016,2016,49,50,Fox,West,12,294295,4423847,60,3
98_2016,2016,49,56,Success,GSL,12,402164,4514710,20,2
99_2016,2016,50,68,Success,West,12,293843,4421744,100,0
100_2016,2016,50,65,Success,West,12,293770,4422178,50,3
101_2016,2016,50,67,Success,West,12,293855,4422057,60,3
102_2016,2016,51,53,Fox,West,12,293978,4421583,30,2.666666667
103_2016,2016,51,56,Fox,GSL,12,293641,4422207,30,1.666666667
104_2016,2016,51,56,Raven,GSL,11,752687,4483264,30,3
105_2016,2016,51,60,Success,West,12,403832,4548996,30,1.333333333
106_2016,2016,51,65,Success,West,12,400997,4514611,70,1.333333333
107_2016,2016,51,68,Success,West,12,292887,4421694,10,2
108_2016,2016,52,61,Success,GSL,12,401067,4514456,100,0
109_2016,2016,53,61,Success,West,12,300576,4413552,100,0
110_2016,2016,53,63,Success,GSL,12,401012,4514423,20,2.333333333
111_2016,2016,54,61,Coyote,West,12,293815,4422437,20,2.666666667
112_2016,2016,54,64,Success,West,12,294265,4424191,30,2
113_2016,2016,54,64,Success,GSL,12,404085,4548662,70,2.666666667
114_2016,2016,54,68,Success,West,12,293743,4422481,50,2.333333333
115_2016,2016,55,63,Raven,GSL,12,293860,4421941,70,3
116_2016,2016,55,71,Success,West,12,293687,4422177,30,1.333333333
117_2016,2016,55,72,Success,West,12,301109,4416910,100,0
118_2016,2016,55,60,Success,West,11,752802,4485308,10,3.666666667
119_2016,2016,55,72,Success,West,12,400959,4514324,80,2.333333333
120_2016,2016,55,68,Success,West,12,292981,4421125,10,2.666666667
121_2016,2016,56,71,Coyote,West,11,753858,4484647,40,1.666666667
122_2016,2016,56,61,Gull,GSL,12,401202,4514116,70,2
123_2016,2016,56,64,Other,GSL,12,401529,4514006,10,2.333333333
124_2016,2016,56,60,Success,West,12,293653,4422627,10,2.666666667
125_2016,2016,56,63,Success,GSL,12,404851,4548962,50,2
126_2016,2016,56,66,Success,West,12,293624,4422456,30,2.666666667
127_2016,2016,57,73,Coyote,West,12,401134,4513066,10,2.333333333
128_2016,2016,57,66,Success,GSL,11,752699,4483567,90,0
129_2016,2016,58,67,Success,GSL,12,401661,4512973,50,3
130_2016,2016,58,65,Success,West,12,300945,4416881,70,1.666666667
131_2016,2016,58,75,Success,West,12,293030,4421935,50,2.666666667
132_2016,2016,58,78,Success,West,12,292212,4422061,10,2.333333333
133_2016,2016,59,73,Success,West,12,292321,4422526,20,2.333333333
134_2016,2016,59,69,Success,West,12,300563,4416025,80,3.333333333
135_2016,2016,59,76,Success,West,11,754147,4483305,40,2.666666667
136_2016,2016,61,67,Raven,GSL,12,401892,4513851,40,2.666666667
137_2016,2016,61,70,Raven,GSL,12,401413,4514062,60,2
138_2016,2016,61,65,Success,GSL,12,404536,4548810,20,3
139_2016,2016,62,67,Coyote,West,12,292041,4421088,40,2.666666667
140_2016,2016,62,79,Success,West,12,295474,4417694,10,2.666666667
141_2016,2016,63,71,Coyote,West,11,752695,4484448,60,2.666666667
142_2016,2016,64,68,Success,West,11,753646,4491368,60,1.333333333
143_2016,2016,65,71,Success,GSL,12,403769,4549124,90,0
